16:22:47,AIRCON turned OFF after 0:00:17.551029
16:24:49,LIGHTS turned ON
16:24:49,AIRCON turned ON
16:27:57,LIGHTS turned ON
16:27:57,AIRCON turned ON
16:30:00,LIGHTS turned OFF after 0:02:03.169914
16:30:00,AIRCON turned OFF after 0:02:03.170794
16:30:18,LIGHTS turned ON
16:30:18,AIRCON turned ON
16:32:04,LIGHTS turned OFF after 0:01:45.682497
16:32:04,AIRCON turned OFF after 0:01:45.682575
16:32:22,LIGHTS turned ON
16:32:22,AIRCON turned ON
16:44:15,LIGHTS turned ON
16:44:15,AIRCON turned ON
16:49:37,LIGHTS turned ON
16:49:37,AIRCON turned ON
17:07:33,LIGHTS turned ON
17:07:33,AIRCON turned ON
17:08:38,LIGHTS turned OFF after 0:01:04.588783
17:08:38,AIRCON turned OFF after 0:01:04.589222
17:08:38,LIGHTS turned ON
17:08:38,AIRCON turned ON
09:01:56,LIGHTS turned ON
09:01:56,AIRCON turned ON
09:06:50,LIGHTS turned OFF after 0:04:53.538775
09:06:50,AIRCON turned OFF after 0:04:53.540556
09:06:50,LIGHTS turned ON
09:06:50,AIRCON turned ON
09:14:55,LIGHTS turned OFF after 0:08:04.741173
09:14:55,AIRCON turned OFF after 0:08:04.804519
09:15:09,LIGHTS turned ON
09:15:09,AIRCON turned ON
09:16:40,LIGHTS turned OFF after 0:01:31.021522
09:16:40,AIRCON turned OFF after 0:01:31.040870
09:16:44,LIGHTS turned ON
09:16:44,AIRCON turned ON
09:18:29,LIGHTS turned OFF after 0:01:45.121137
09:18:29,AIRCON turned OFF after 0:01:45.102943
09:18:30,LIGHTS turned ON
09:18:30,AIRCON turned ON
09:35:58,LIGHTS turned ON
09:35:58,AIRCON turned ON
09:47:53,LIGHTS turned ON
09:47:53,AIRCON turned ON
09:50:20,LIGHTS turned ON
09:50:20,AIRCON turned ON
09:57:38,LIGHTS turned ON
09:57:38,AIRCON turned ON
09:57:49,LIGHTS turned ON
09:57:49,AIRCON turned ON
09:58:36,LIGHTS turned OFF after 0:00:46.939873
09:58:36,AIRCON turned OFF after 0:00:46.937789
09:58:42,LIGHTS turned ON
09:58:42,AIRCON turned ON
10:00:44,LIGHTS turned OFF after 0:02:01.656502
10:00:44,AIRCON turned OFF after 0:02:01.656565
10:00:53,LIGHTS turned ON
10:00:53,AIRCON turned ON
10:07:54,LIGHTS turned ON
10:07:54,AIRCON turned ON
10:08:06,LIGHTS turned ON
10:08:06,AIRCON turned ON
10:08:26,LIGHTS turned OFF after 0:00:20.809742
10:08:26,AIRCON turned OFF after 0:00:20.809291
10:08:33,LIGHTS turned ON
10:08:33,AIRCON turned ON
10:09:54,LIGHTS turned ON
10:09:54,AIRCON turned ON
10:10:17,LIGHTS turned OFF after 0:00:22.847017
10:10:17,AIRCON turned OFF after 0:00:22.847076
10:10:30,LIGHTS turned ON
10:10:30,AIRCON turned ON
10:11:12,LIGHTS turned OFF after 0:00:41.938320
10:11:12,AIRCON turned OFF after 0:00:41.937514
10:11:14,LIGHTS turned ON
10:11:14,AIRCON turned ON
10:11:39,LIGHTS turned OFF after 0:00:24.310838
10:11:39,AIRCON turned OFF after 0:00:24.309722
10:11:41,LIGHTS turned ON
10:11:41,AIRCON turned ON
10:14:00,LIGHTS turned OFF after 0:02:19.143556
10:14:00,AIRCON turned OFF after 0:02:19.143716
10:14:02,LIGHTS turned ON
10:14:02,AIRCON turned ON
10:16:22,LIGHTS turned OFF after 0:02:20.254630
10:16:22,AIRCON turned OFF after 0:02:20.255121
10:16:50,LIGHTS turned ON
10:16:50,AIRCON turned ON
10:18:33,LIGHTS turned OFF after 0:01:43.251627
10:18:33,AIRCON turned OFF after 0:01:43.252505
10:18:45,LIGHTS turned ON
10:18:45,AIRCON turned ON
10:19:17,LIGHTS turned ON
10:19:17,AIRCON turned ON
10:19:54,LIGHTS turned ON
10:19:54,AIRCON turned ON
10:20:33,LIGHTS turned OFF after 0:00:38.803121
10:20:33,AIRCON turned OFF after 0:00:38.803323
10:20:39,LIGHTS turned ON
10:20:39,AIRCON turned ON
10:21:10,LIGHTS turned OFF after 0:00:30.231384
10:21:10,AIRCON turned OFF after 0:00:30.231304
10:21:18,LIGHTS turned ON
10:21:18,AIRCON turned ON
10:21:20,LIGHTS turned OFF after 0:00:01.569304
10:21:20,AIRCON turned OFF after 0:00:01.569982
10:21:24,LIGHTS turned ON
10:21:24,AIRCON turned ON
10:22:11,LIGHTS turned OFF after 0:00:47.660958
10:22:11,AIRCON turned OFF after 0:00:47.660579
10:22:16,LIGHTS turned ON
10:22:16,AIRCON turned ON
10:22:37,LIGHTS turned OFF after 0:00:20.391450
10:22:37,AIRCON turned OFF after 0:00:20.392169
10:22:41,LIGHTS turned ON
10:22:42,AIRCON turned ON
10:22:59,LIGHTS turned OFF after 0:00:17.887967
10:22:59,AIRCON turned OFF after 0:00:17.888743
10:23:05,LIGHTS turned ON
10:23:05,AIRCON turned ON
10:23:21,LIGHTS turned OFF after 0:00:16.050213
10:23:21,AIRCON turned OFF after 0:00:16.049071
10:23:24,LIGHTS turned ON
10:23:24,AIRCON turned ON
10:23:42,LIGHTS turned OFF after 0:00:17.669475
10:23:42,AIRCON turned OFF after 0:00:17.670294
10:23:58,LIGHTS turned ON
10:23:58,AIRCON turned ON
10:25:10,LIGHTS turned ON
10:25:10,AIRCON turned ON
10:29:32,LIGHTS turned ON
10:29:32,AIRCON turned ON
10:29:46,LIGHTS turned OFF after 0:00:14.603032
10:29:46,AIRCON turned OFF after 0:00:14.603000
10:29:55,LIGHTS turned ON
10:29:55,AIRCON turned ON
10:33:37,LIGHTS turned OFF after 0:03:41.979571
10:33:37,AIRCON turned OFF after 0:03:41.979594
10:33:41,LIGHTS turned ON
10:33:41,AIRCON turned ON
2025-05-14,10:34:18,LIGHTS turned ON
2025-05-14,10:34:18,AIRCON turned ON
2025-05-14,10:34:39,LIGHTS turned OFF after 0:00:21.606931
2025-05-14,10:34:39,AIRCON turned OFF after 0:00:21.607339
2025-05-14,10:34:43,LIGHTS turned ON
2025-05-14,10:34:43,AIRCON turned ON
2025-05-14,10:34:58,LIGHTS turned OFF after 0:00:15.829342
2025-05-14,10:34:58,AIRCON turned OFF after 0:00:15.829311
2025-05-14,10:35:02,LIGHTS turned ON
2025-05-14,10:35:02,AIRCON turned ON
2025-05-14,13:57:20,LIGHTS turned ON
